0,0,0
100,87,80
200,317,316
300,752,954
400,1419,1633
500,2002,2823
600,3422,4112
700,4150,5319
800,5329,7406
900,6750,9463
1000,8219,12628
1100,4117,11434
1200,12028,16862
1300,14271,23622
1400,17159,26557
1500,16995,29445
1600,21154,34068
1700,21979,40945
1800,25324,43071
1900,25486,46873
2000,28673,53060
2100,31285,52814
2200,34191,60862
2300,37734,67685
2400,40761,66306
2500,44216,76489
2600,47751,83491
2700,51595,88391
2800,56405,93877
2900,59509,98855
3000,63650,112910
3100,84502,106014
3200,73539,124786
3300,76986,90967
3400,37073,78044
3500,38828,84546
3600,41275,82737
3700,43626,87240
3800,46075,96812
3900,48709,103848
4000,51198,106719
4100,53871,108881
4200,56472,120776
4300,59295,120887
4400,61905,128346
4500,64806,131667
4600,67436,138121
4700,70408,146045
4800,73296,156549
4900,76283,160889
5000,80080,177856
5100,85703,181357
5200,86729,190426
5300,89301,198924
5400,93170,204759
5500,96336,217580
5600,99494,226565
5700,103412,235481
5800,106727,242369
5900,110976,257195
6000,115061,269571
6100,118311,275142
6200,121972,297260
6300,126438,301628
6400,130102,328168
6500,304159,603376
6600,308877,679349
6700,143059,343228
6800,327646,695863
6900,336889,724268
7000,346645,735924
7100,358696,764521
7200,368807,799277
7300,383972,820964
7400,175932,503831
7500,178736,469049
7600,184323,486307
7700,419778,1006942
7800,436237,1049470
7900,442602,1108127
8000,456479,1165328
8100,464217,628407
8200,214416,588633
8300,219974,601383
8400,225097,624736
8500,531493,1020176
8600,243251,754543
8700,255078,826238
8800,260733,778685
8900,274931,782969
9000,267116,834089
9100,265012,783488
9200,269525,822020
9300,276223,792583
9400,299243,1012948
9500,288846,843914
9600,299165,1033736
9700,319518,945517
9800,306165,940178
9900,311722,1002624
10000,478152,1268134
10100,325478,1239961
10200,736918,2044899
10300,755457,2142974
10400,811825,2221130
10500,355558,1193408
10600,360229,1799394
10700,366827,1306883
10800,374953,1392513
10900,378044,1545079
11000,388942,1869693
11100,393742,2330164
11200,401607,1691842
11300,408771,2173856
11400,420412,1567505
11500,423474,1665782
11600,431072,1857172
11700,439210,1788828
11800,443947,1603084
11900,451356,1535150
12000,465602,1341923
12100,466147,1317813
12200,479005,1366090
12300,482107,1355930
12400,491536,1391268
12500,500365,1422268
12600,509798,1440631
12700,514031,1456486
12800,522944,1476812
12900,532864,1520203
13000,538882,1550777
13100,549080,1578075
13200,555833,1717981
13300,563643,1594398
13400,572236,1666990
13500,584863,1770649
13600,589902,1731150
13700,597823,1815629
13800,606742,1787690
13900,616265,1889752
14000,626523,1866806
14100,634393,1973581
14200,644374,2236829
14300,652977,2111494
14400,660759,1999567
14500,672850,2152500
14600,680764,2080990
14700,687937,2134479
14800,700064,2158376
14900,714460,2392593
15000,732847,3459678
15100,726700,2383536
15200,737814,2350548
15300,745743,2380191
15400,756102,2370099
15500,758480,2711855
15600,778732,2898595
15700,784842,2596185
15800,796142,2765161
15900,805156,2862459
16000,871251,2950738
16100,824108,3658112
16200,873986,3083911
16300,851657,3029471
16400,854038,6021202
16500,874172,3435885
16600,904562,4513127
16700,890727,3351349
16800,899998,3474139
16900,911670,7149362
17000,920425,3377228
17100,930764,4411806
17200,947579,3860621
17300,954911,4297130
17400,1009359,4526102
17500,1019081,7352327
17600,1038415,7456596
17700,999436,4452243
17800,1010352,4812657
17900,1021190,4606237
18000,1034782,8175746
18100,1045467,6998356
18200,1060636,4772839
18300,1067690,5085362
18400,1080514,5154067
18500,1087778,7940214
18600,1109158,6359840
18700,1115830,5606609
18800,1128696,5614415
18900,1142045,5803289
19000,1147646,9088390
19100,1161456,6154396
19200,1224069,6499665
19300,1196528,7315687
19400,1208850,6889285
19500,1216885,9007165
19600,1230328,7435634
19700,1237995,7476103
19800,1262137,8379440
19900,1282065,8774282
